"id","sessionId","timestamp","gyroX","gyroY","gyroZ","angularSpeed_rad_s","angularAccel_rad_s2","omegaAzimuth","omegaElevation","roll_deg","pitch_deg","dtS"
"SYNTH001","1742556451390","2025-03-21T11:27:31.417138","-1.23007","0.73223","1.70221","2.22413","222.1302","23.276","33.577","18.778","-0.84","0.004921"
"SYNTH001","1742556451390","2025-03-21T11:27:31.463940","0.02271","-1.55462","-1.39182","2.08675","77.7253","-131.837","-0.624","18.914","-7.812","0.006482"
"SYNTH001","1742556451390","2025-03-21T11:27:31.467257","1.76146","1.59351","-1.88054","3.02959","284.2432","139.723","-35.55","-19.671","-6.698","0.003317"
"SYNTH001","1742556451390","2025-03-21T11:27:31.493981","-0.32717","0.21184","1.58307","1.63034","39.9814","7.622","11.576","-23.126","-2.871","0.007597"
"SYNTH001","1742556451390","2025-03-21T11:27:31.532668","-0.32673","1.10278","1.45637","1.85577","87.0491","37.133","10.14","2.43","13.113","0.005724"
"SYNTH001","1742556451390","2025-03-21T11:27:31.557742","2.63882","0.39151","-0.56006","2.72586","300.4826","145.045","-75.482","-8.464","-24.033","0.005334"
"SYNTH001","1742556451390","2025-03-21T11:27:31.572077","1.43618","0.42614","-0.70819","1.65703","35.2991","148.963","-60.08","7.907","1.285","0.007826"
"SYNTH001","1742556451390","2025-03-21T11:27:31.579014","2.2096","0.09612","-0.93576","2.40151","107.3076","174.135","-66.939","-19.72","-11.352","0.006938"
"SYNTH001","1742556451390","2025-03-21T11:27:31.583495","-0.13742","-1.82599","-0.61335","1.93115","-104.9755","-108.567","4.081","-3.377","14.151","0.004481"
"SYNTH001","1742556451390","2025-03-21T11:27:31.597322","1.21551","0.29804","1.16382","1.70903","91.543","14.364","-45.335","-2.286","22.453","0.007115"
"SYNTH001","1742556451390","2025-03-21T11:27:31.602222","-0.52113","-1.81261","-0.5743","1.97153","53.5658","-107.58","15.327","-6.476","13.709","0.004901"
"SYNTH001","1742556451390","2025-03-21T11:27:31.614317","1.68911","-0.71707","-0.18841","1.84467","54.2886","-104.721","-66.302","-22.063","-1.038","0.004134"
"SYNTH001","1742556451390","2025-03-21T11:27:31.632771","-0.3757","-1.80451","0.2706","1.86297","177.367","-81.472","11.634","-23.54","21.464","0.006566"
"SYNTH001","1742556451390","2025-03-21T11:27:31.641172","-0.99217","-0.26032","1.29314","1.65057","26.1208","-11.382","36.949","-22.349","0.196","0.005242"
"SYNTH001","1742556451390","2025-03-21T11:27:31.646650","0.97312","-1.75501","-0.05395","2.00747","65.1439","-91.761","-28.996","-1.759","-6.527","0.005479"
"SYNTH001","1742556451390","2025-03-21T11:27:31.664488","-2.16347","-1.38302","-0.2106","2.57637","174.6589","-98.658","57.112","16.554","-6.71","0.006907"
"SYNTH001","1742556451390","2025-03-21T11:27:31.671383","-0.99599","1.77595","-0.36968","2.06946","-73.5233","101.759","28.769","15.625","22.307","0.006895"
"SYNTH001","1742556451390","2025-03-21T11:27:31.690058","2.5539","-1.16926","0.48997","2.85126","271.1703","-67.264","-63.6","4.481","-9.545","0.007673"
"SYNTH001","1742556451390","2025-03-21T11:27:31.718264","1.95958","-0.92329","0.1228","2.16967","185.164","-82.424","-64.577","-6.386","1.626","0.005559"
"SYNTH001","1742556451390","2025-03-21T11:27:31.725427","0.48779","1.67024","-1.87747","2.55979","54.4631","138.343","-10.985","21.706","-19.973","0.007163"
"SYNTH001","1742556451390","2025-03-21T11:27:31.757961","-0.93648","-1.20515","1.89575","2.43377","367.898","-32.445","22.63","-20.811","-13.03","0.003254"
"SYNTH001","1742556451390","2025-03-21T11:27:31.766489","0.62559","-2.23656","1.15452","2.59355","310.8294","-62.697","-13.958","10.981","-1.924","0.005165"
"SYNTH001","1742556451390","2025-03-21T11:27:31.776653","1.53015","0.59631","-0.36737","1.68283","206.6839","121.636","-65.405","21.436","-24.49","0.003425"
"SYNTH001","1742556451390","2025-03-21T11:27:31.799279","1.99135","0.00925","-0.94535","2.20437","132.5444","179.44","-64.604","-2.327","15.565","0.005994"
"SYNTH001","1742556451390","2025-03-21T11:27:31.806689","-0.3489","-1.44613","-1.72857","2.28057","10.2822","-140.084","8.8","12.316","0.51","0.00741"
"SYNTH001","1742556451390","2025-03-21T11:27:31.812673","0.79824","1.23467","1.26516","1.93965","-56.9646","44.301","-24.302","0.804","7.353","0.005985"
"SYNTH001","1742556451390","2025-03-21T11:27:31.820575","0.4769","1.36497","-1.22124","1.89262","208.4619","131.819","-14.595","0.594","7.996","0.004219"
"SYNTH001","1742556451390","2025-03-21T11:27:31.828744","0.35924","-0.28488","1.95805","2.01101","450.9084","-8.278","-10.29","19.826","-22.485","0.003653"
"SYNTH001","1742556451390","2025-03-21T11:27:31.836167","-0.31959","1.08219","1.88913","2.20048","207.0856","29.806","8.351","-7.205","-11.078","0.00442"
"SYNTH001","1742556451390","2025-03-21T11:27:31.846750","2.35611","0.03163","-1.80005","2.9652","311.8064","178.993","-52.616","-4.428","20.621","0.005229"
"SYNTH001","1742556451390","2025-03-21T11:27:31.857638","-0.61213","1.369","-1.28771","1.97663","171.8569","133.248","18.04","1.243","18.908","0.007756"
"SYNTH001","1742556451390","2025-03-21T11:27:31.902271","-1.01773","1.44398","-0.36959","1.80484","330.5159","104.357","34.325","3.55","-0.742","0.003787"
