"id","sessionId","gender","skillLevel","language","Sentence","completeUserInput","keyText","keyType","pressTime","releaseTime","holdTime","flightTime","compositionRole"
"SYNTH001","1738592033546","F","expert","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ጰ","KeyTypes.textKey","1738592033546","1738592033640","94","","standalone"
"SYNTH001","1738592033546","M","beginner","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","አ","KeyTypes.textKey","1738592033943","1738592034061","118","303","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","አ","KeyTypes.textKey","1738592034424","1738592034552","128","363","order"
"SYNTH001","1738592033546","F","expert","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ሸ","KeyTypes.textKey","1738592035139","1738592035214","75","587","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ሸ","KeyTypes.textKey","1738592035588","1738592035688","100","374","order"
"SYNTH001","1738592033546","M","expert","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ቸ","KeyTypes.textKey","1738592036036","1738592036103","67","348","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ቸ","KeyTypes.textKey","1738592036425","1738592036517","92","322","order"
"SYNTH001","1738592033546","F","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","አ","KeyTypes.textKey","1738592036782","1738592036844","62","265","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","አ","KeyTypes.textKey","1738592037383","1738592037465","82","539","order"
"SYNTH001","1738592033546","M","beginner","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ረ","KeyTypes.textKey","1738592037788","1738592037861","73","323","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ረ","KeyTypes.textKey","1738592038038","1738592038103","65","177","order"
"SYNTH001","1738592033546","M","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ፐ","KeyTypes.textKey","1738592038237","1738592038325","88","134","standalone"
"SYNTH001","1738592033546","M","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","በ","KeyTypes.textKey","1738592038694","1738592038791","97","369","standalone"
"SYNTH001","1738592033546","M","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","አ","KeyTypes.textKey","1738592039307","1738592039388","81","516","standalone"
"SYNTH001","1738592033546","F","beginner","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ፐ","KeyTypes.textKey","1738592039715","1738592039821","106","327","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ፐ","KeyTypes.textKey","1738592040364","1738592040470","106","543","order"
"SYNTH001","1738592033546","F","expert","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","የ","KeyTypes.textKey","1738592040882","1738592040945","63","412","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","የ","KeyTypes.textKey","1738592041206","1738592041287","81","261","order"
"SYNTH001","1738592033546","M","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ቸ","KeyTypes.textKey","1738592041465","1738592041598","133","178","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ቸ","KeyTypes.textKey","1738592042052","1738592042137","85","454","order"
"SYNTH001","1738592033546","F","intermediate","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","ቸ","KeyTypes.textKey","1738592042460","1738592042570","110","323","standalone"
"SYNTH001","1738592033546","M","expert","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","የ","KeyTypes.textKey","1738592042931","1738592043042","111","361","base"
"SYNTH001","1738592033546","","","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","የ","KeyTypes.textKey","1738592043312","1738592043369","57","270","order"
"SYNTH001","1738592033546","M","beginner","am","ጰአሸቸአረፐበአፐየቸቸየበ","ጰአሸቸአረፐበአፐየቸቸየበ","በ","KeyTypes.textKey","1738592043614","1738592043692","78","245","standalone"
"SYNTH001","1740945380475","F","beginner","am","ሰጸዘለአጠነጠሰመአጠከአፈ","ሰጸዘለአጠነጠሰመአጠከአፈ","ሰ","KeyTypes.textKey","1740945380475","1740945380552","77","","base"
"SYNTH001","1740945380475","","","am","ሰጸዘለአጠነጠሰመአጠከአፈ","ሰጸዘለአጠነጠሰመአጠከአፈ","ሰ","KeyTypes.textKey","1740945380827","1740945380886","59","275","order"
"SYNTH001","1740945380475","M","intermediate","am","ሰጸዘለአጠነጠሰመአጠከአፈ","ሰጸዘለአጠነጠሰመአጠከአፈ","ጸ","KeyTypes.textKey","1740945381208","1740945381346","138","322","base"
