"id","sessionId","gender","skillLevel","language","Sentence","completeUserInput","keyText","keyType","pressTime","releaseTime","holdTime","flightTime","compositionRole"
"SYNTH001","1738410417508","F","expert","en","ezuxykmxribcn","ezuxykmxribcn","e","KeyTypes.textKey","1738410417508","1738410417602","94","","standalone"
"SYNTH001","1738410417508","M","beginner","en","ezuxykmxribcn","ezuxykmxribcn","z","KeyTypes.textKey","1738410417938","1738410418033","95","336","standalone"
"SYNTH001","1738410417508","M","expert","en","ezuxykmxribcn","ezuxykmxribcn","u","KeyTypes.textKey","1738410418344","1738410418420","76","311","standalone"
"SYNTH001","1738410417508","M","expert","en","ezuxykmxribcn","ezuxykmxribcn","x","KeyTypes.textKey","1738410418593","1738410418729","136","173","standalone"
"SYNTH001","1738410417508","M","beginner","en","ezuxykmxribcn","ezuxykmxribcn","y","KeyTypes.textKey","1738410419087","1738410419196","109","358","standalone"
"SYNTH001","1738410417508","M","intermediate","en","ezuxykmxribcn","ezuxykmxribcn","k","KeyTypes.textKey","1738410419627","1738410419719","92","431","standalone"
"SYNTH001","1738410417508","F","intermediate","en","ezuxykmxribcn","ezuxykmxribcn","m","KeyTypes.textKey","1738410420021","1738410420116","95","302","standalone"
"SYNTH001","1738410417508","F","expert","en","ezuxykmxribcn","ezuxykmxribcn","x","KeyTypes.textKey","1738410420483","1738410420576","93","367","standalone"
"SYNTH001","1738410417508","M","beginner","en","ezuxykmxribcn","ezuxykmxribcn","r","KeyTypes.textKey","1738410420892","1738410420944","52","316","standalone"
"SYNTH001","1738410417508","M","beginner","en","ezuxykmxribcn","ezuxykmxribcn","i","KeyTypes.textKey","1738410421047","1738410421146","99","103","standalone"
"SYNTH001","1738410417508","M","expert","en","ezuxykmxribcn","ezuxykmxribcn","b","KeyTypes.textKey","1738410421490","1738410421619","129","344","standalone"
"SYNTH001","1738410417508","F","intermediate","en","ezuxykmxribcn","ezuxykmxribcn","c","KeyTypes.textKey","1738410422004","1738410422121","117","385","standalone"
