"id","sessionId","initialX","initialY","flingVelocityX","flingVelocityY","duration","pathLength_px","straightLineDistance_px","straightnessIndex","meanSpeed_px_s","snPathLength","screenDiagonalPx"
"SYNTH001","1740867571839","261.42","545.9","-481.9","80.1","0.3984","389.99","331.16","0.8491","978.9","0.4372","892.0"
"SYNTH001","1740867571839","46.33","330.81","700.2","-1646.9","0.2749","266.91","207.75","0.7783","970.9","0.2992","892.0"
"SYNTH001","1740867571839","320.03","512.07","919.2","1438.6","0.2507","245.77","211.4","0.8602","980.3","0.2755","892.0"
"SYNTH001","1740867571839","356.05","611.37","-726.2","-1048.1","0.1402","477.99","375.05","0.7846","3409.3","0.5359","892.0"
"SYNTH001","1740867571839","363.09","659.13","688.5","-248.9","0.4918","118.95","98.45","0.8276","241.9","0.1334","892.0"
"SYNTH001","1740867571839","223.77","570.59","790.0","-823.2","0.1232","189.21","171.65","0.9072","1535.8","0.2121","892.0"
"SYNTH001","1740867571839","169.07","499.61","1117.0","-1349.7","0.3991","438.75","338.8","0.7722","1099.4","0.4919","892.0"
"SYNTH001","1740867571839","127.72","494.5","-897.7","559.2","0.3673","340.98","330.01","0.9678","928.3","0.3823","892.0"
"SYNTH001","1740867571839","349.19","370.67","330.2","114.3","0.4416","122.13","102.81","0.8417","276.6","0.1369","892.0"
"SYNTH001","1740867571839","127.49","490.23","781.1","230.4","0.4204","237.76","187.3","0.7878","565.6","0.2665","892.0"
"SYNTH001","1740867571839","357.0","500.99","-817.0","-583.3","0.3716","184.18","183.15","0.9944","495.6","0.2065","892.0"
"SYNTH001","1740867571839","288.29","233.15","1803.9","1452.4","0.2316","290.34","223.31","0.7691","1253.6","0.3255","892.0"
"SYNTH001","1740867571839","250.42","367.19","747.4","-1167.3","0.2921","188.83","140.76","0.7454","646.5","0.2117","892.0"
"SYNTH001","1740867571839","34.08","338.04","-514.9","-901.2","0.4405","386.13","331.95","0.8597","876.6","0.4329","892.0"
"SYNTH001","1740867571839","105.22","520.08","401.8","-566.2","0.4791","357.16","330.75","0.9261","745.5","0.4004","892.0"
"SYNTH001","1740867571839","112.61","387.15","-173.1","586.2","0.3418","197.65","178.04","0.9008","578.3","0.2216","892.0"
"SYNTH001","1740867571839","95.85","568.26","1015.3","-362.1","0.2519","116.25","100.28","0.8626","461.5","0.1303","892.0"
"SYNTH001","1740867571839","71.76","249.79","-1664.2","-472.8","0.1583","244.78","218.35","0.892","1546.3","0.2744","892.0"
"SYNTH001","1740867571839","308.56","602.64","-573.3","-952.9","0.1306","205.92","157.76","0.7661","1576.7","0.2308","892.0"
"SYNTH001","1735817558142","362.29","690.82","884.6","-1298.4","0.2343","327.85","245.25","0.748","1399.3","0.3675","892.0"
"SYNTH001","1735817558142","288.75","182.12","-258.4","-490.4","0.3416","235.29","188.3","0.8003","688.8","0.2638","892.0"
"SYNTH001","1735817558142","290.26","506.99","192.0","-1403.9","0.1345","226.8","174.92","0.7712","1686.3","0.2543","892.0"
"SYNTH001","1735817558142","171.52","94.61","-1492.7","904.4","0.1616","377.1","305.41","0.8099","2333.5","0.4228","892.0"
"SYNTH001","1735817558142","222.94","469.94","1094.0","498.6","0.2228","316.8","298.95","0.9436","1421.9","0.3552","892.0"
"SYNTH001","1735817558142","198.44","407.82","-603.9","356.0","0.2035","372.97","309.81","0.8307","1832.8","0.4181","892.0"
"SYNTH001","1735817558142","54.98","430.54","-491.0","-126.6","0.4091","482.04","389.96","0.809","1178.3","0.5404","892.0"
"SYNTH001","1735817558142","80.48","211.12","-504.2","-1189.4","0.4451","203.72","186.99","0.9179","457.7","0.2284","892.0"
"SYNTH001","1735817558142","351.75","712.14","133.4","-582.0","0.3814","435.59","348.43","0.7999","1142.1","0.4883","892.0"
"SYNTH001","1735817558142","100.69","54.15","607.8","-502.0","0.3558","102.58","84.5","0.8237","288.3","0.115","892.0"
"SYNTH001","1735817558142","145.98","657.53","-138.2","638.9","0.4657","358.15","268.64","0.7501","769.1","0.4015","892.0"
"SYNTH001","1737289957144","351.01","694.07","1771.9","711.7","0.2263","364.06","341.01","0.9367","1608.8","0.4081","892.0"
"SYNTH001","1737289957144","132.57","322.94","-258.8","-1546.6","0.4018","424.83","315.11","0.7417","1057.3","0.4763","892.0"
