"id","sessionId","startTime","endTime","TapPressTime","TapReleaseTime","TapDuration","TapInitialGlobalLocationX","TapInitialGlobalLocationY","TapFinalGlobalLocationX","TapFinalGlobalLocationY","normalizedX","normalizedY","_targetSizeAre"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902204","1740910902301","97","29.19","407.72","29.95","407.97","0.073","0.5096","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902265","1740910902350","85","328.51","625.97","327.68","626.29","0.8213","0.7825","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910896181","1740910896249","68","302.62","675.05","301.75","674.79","0.7565","0.8438","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910903735","1740910903840","105","63.47","409.04","63.37","409.44","0.1587","0.5113","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910903617","1740910903676","59","193.8","662.23","194.07","660.87","0.4845","0.8278","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899542","1740910899609","67","243.47","405.66","244.32","405.64","0.6087","0.5071","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902640","1740910902707","67","118.03","79.72","117.41","80.37","0.2951","0.0997","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910903584","1740910903693","109","264.76","518.38","265.04","519.44","0.6619","0.648","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910900215","1740910900322","107","150.01","255.17","152.17","254.92","0.375","0.319","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910903556","1740910903613","57","184.99","699.11","185.3","700.52","0.4625","0.8739","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910895870","1740910895952","82","64.18","594.81","62.61","595.31","0.1605","0.7435","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910904858","1740910904949","91","125.47","728.48","126.95","728.21","0.3137","0.9106","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902252","1740910902315","63","259.87","109.18","260.57","109.74","0.6497","0.1365","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902866","1740910902926","60","246.61","55.85","245.62","55.02","0.6165","0.0698","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902102","1740910902175","73","75.13","566.26","75.23","565.85","0.1878","0.7078","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910898639","1740910898669","30","38.35","171.01","38.22","170.07","0.0959","0.2138","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910900304","1740910900369","65","225.72","694.22","226.39","692.98","0.5643","0.8678","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910904064","1740910904156","92","328.02","506.68","328.99","506.27","0.82","0.6333","1660"
